work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2021,MI,FT,Scientist,30400000,CLP,40038,CL,100,CL,L
2021,MI,FT,Finance,11000000,HUF,36259,HU,50,US,L
2020,MI,FT,Scientist,11000000,HUF,35735,HU,50,HU,L
2021,MI,FT,Engineer,8500000,JPY,77364,JP,50,JP,S
2022,SE,FT,Engineer,7500000,INR,95386,IN,50,IN,L
2021,MI,FT,Engineer,7000000,JPY,63711,JP,50,JP,S
2021,SE,FT,IT,7000000,INR,94665,IN,50,IN,L
2022,EN,FT,Scientist,6600000,HUF,17684,HU,100,HU,M
2022,EX,FT,Other,6000000,INR,76309,IN,50,IN,L
2022,EN,FT,Engineer,5500000,JPY,41809,JP,50,JP,L
2023,MI,FT,IT,5000000,INR,60805,IN,50,IN,L
2023,EN,FT,Public Relations,4950806,INR,60207,IN,0,IN,S
2021,SE,FT,Engineer,4900000,INR,66265,IN,0,IN,L
2022,SE,FT,Scientist,4460000,INR,56723,IN,0,IN,L
2020,EN,FT,Engineer,4450000,JPY,41689,JP,100,JP,S
2022,MI,FT,Scientist,4200000,INR,53416,IN,100,ID,L
2023,EN,FT,Scientist,4000000,INR,48644,IN,100,DE,L
2021,SE,FT,Scientist,4000000,INR,54094,IN,100,IN,L
2021,SE,FT,IT,4000000,INR,54094,IN,50,US,L
2023,SE,FT,IT,3600000,INR,43779,IN,100,IN,L
2024,MI,FT,Finance,3300000,INR,39615,IN,50,IN,L
2023,MI,FT,IT,3200000,INR,38915,IN,50,IN,L
2023,MI,FT,IT,3200000,INR,38915,IN,50,IN,M
2023,SE,FT,IT,3000000,INR,36483,IN,50,IN,L
2022,SE,FT,Public Relations,3000000,INR,38154,IN,100,IN,L
2021,SE,FT,Scientist,3000000,INR,40570,IN,50,IN,L
2020,MI,FT,Scientist,3000000,INR,40481,IN,0,IN,L
2022,MI,FT,Engineer,2800000,INR,35610,IN,50,IN,L
2023,MI,FT,Engineer,2700000,INR,32834,IN,100,IN,M
2022,MI,FT,Scientist,2500000,INR,31795,IN,100,US,M
2021,MI,FT,Scientist,2500000,INR,33808,IN,0,IN,M
2022,MI,FL,Scientist,2400000,INR,30523,IN,100,IN,S
2022,MI,FT,Scientist,2400000,INR,30523,IN,100,IN,L
2024,MI,FT,Engineer,2300000,INR,27611,IN,100,IN,L
2021,EN,FT,Engineer,2250000,INR,30428,IN,100,IN,L
2021,EN,FT,Scientist,2200000,INR,29751,IN,50,IN,L
2021,EN,FT,Scientist,2100000,INR,28399,IN,100,IN,M
2023,EN,FT,Engineer,2000000,INR,24322,IN,100,CH,L
2023,MI,FT,Engineer,2000000,INR,24322,IN,50,IN,L
2022,EN,FT,Scientist,1800000,INR,22892,IN,50,IN,M
2021,SE,FT,Engineer,1799997,INR,24342,IN,100,IN,L
2023,EN,FT,Finance,1700000,INR,20673,IN,50,IN,L
2023,MI,FT,Scientist,1700000,INR,20673,IN,100,IN,L
2021,MI,FT,Engineer,1672000,INR,22611,IN,0,IN,L
2022,MI,FT,Engineer,1650000,INR,20984,IN,50,IN,L
2021,EN,FT,Engineer,1600000,INR,21637,IN,50,IN,M
2023,SE,FT,Scientist,1500000,ILS,417937,IL,0,IL,L
2023,MI,FT,Finance,1500000,INR,18241,IN,50,IN,L
2021,MI,FT,Finance,1450000,INR,19609,IN,100,IN,L
2023,MI,FT,IT,1440000,INR,17511,IN,50,SG,M
2022,MI,FT,Finance,1440000,INR,18314,IN,50,IN,L
2023,EN,FT,Engineer,1400000,INR,17025,IN,100,IN,L
2023,MI,FT,Scientist,1400000,INR,17025,IN,100,IN,L
2022,MI,FT,Finance,1400000,INR,17805,IN,100,IN,M
2022,EN,FT,Scientist,1400000,INR,17805,IN,100,IN,M
2023,MI,FT,Finance,1350000,INR,16417,IN,100,IN,L
2021,EN,FT,Scientist,1335000,INR,18053,IN,100,AS,S
2023,SE,FT,Finance,1300000,INR,15809,IN,100,IN,S
2022,MI,FT,Engineer,1250000,INR,15897,IN,100,IN,M
2021,MI,FT,Finance,1250000,INR,16904,IN,50,IN,L
2021,MI,FT,Scientist,1250000,INR,16904,IN,100,IN,S
2021,EN,FT,Engineer,1200000,INR,16228,IN,100,IN,L
2023,EX,FT,Scientist,1050000,NOK,100416,NO,50,NO,S
2023,SE,FT,IT,1000000,THB,29301,TH,50,TH,M
2023,MI,FT,Finance,866000,PHP,15680,PH,50,PH,L
2023,MI,FT,Scientist,840000,THB,24613,TH,50,TH,L
2024,MI,FT,IT,800000,USD,800000,CA,100,CA,M
2023,SE,FT,Scientist,800000,NOK,76508,NO,50,NO,S
2024,EN,FT,Finance,774000,USD,774000,MX,0,MX,M
2024,SE,FT,Engineer,750000,USD,750000,US,0,US,M
2024,MI,FT,Scientist,750000,USD,750000,US,0,US,M
2024,SE,FT,Finance,750000,USD,750000,US,0,US,M
2024,MI,FT,Scientist,750000,USD,750000,US,0,US,M
2023,MI,FT,Scientist,750000,USD,750000,US,0,US,M
2023,MI,FT,Engineer,750000,USD,750000,US,0,US,M
2023,MI,FT,Engineer,750000,USD,750000,US,0,US,M
2023,SE,FT,Scientist,750000,USD,750000,US,0,US,M
2024,MI,FT,Scientist,720000,USD,720000,US,0,US,M
2024,SE,FT,Scientist,720000,USD,720000,US,100,US,M
2024,MI,FT,Engineer,720000,USD,720000,US,0,US,M
2024,SE,FT,Engineer,720000,USD,720000,US,0,US,M
2024,SE,FT,Scientist,720000,USD,720000,US,0,US,M
2024,MI,FT,Engineer,720000,USD,720000,US,0,US,M
2024,MI,FT,Scientist,720000,USD,720000,US,0,US,M
2024,MI,FT,Engineer,720000,USD,720000,US,0,US,M
2020,SE,FT,Engineer,720000,MXN,33511,MX,0,MX,S
2023,SE,FT,Engineer,700000,USD,700000,US,100,US,M
2023,MI,FT,Engineer,700000,USD,700000,US,100,US,M
2023,MI,FT,Engineer,627000,ZAR,34482,ZA,50,ZA,L
2024,SE,FT,Scientist,600000,USD,600000,US,0,US,M
2024,SE,FT,Public Relations,600000,USD,600000,US,0,US,M
2024,SE,FT,Engineer,600000,USD,600000,US,0,US,M
2024,SE,FT,Engineer,550000,USD,550000,US,0,US,M
2024,SE,FT,Engineer,550000,USD,550000,US,0,US,M
2024,MI,FT,Engineer,530000,USD,530000,US,0,US,M
2023,MI,FT,Scientist,510000,HKD,65058,HK,0,HK,L
2024,SE,FT,Scientist,500000,USD,500000,US,100,US,M
2024,SE,FT,Scientist,500000,USD,500000,US,100,US,M
2024,SE,FT,Scientist,484000,USD,484000,US,100,US,M
2023,EX,FT,Engineer,465000,USD,465000,US,0,US,M
2024,SE,FT,Engineer,450000,USD,450000,US,0,US,M
2020,MI,FT,Scientist,450000,USD,450000,US,0,US,M
2024,SE,FT,IT,449000,USD,449000,US,0,US,M
2024,EX,FT,Other,448000,USD,448000,US,100,US,M
2024,MI,FT,Engineer,440000,USD,440000,US,0,US,M
2024,MI,FT,Engineer,440000,USD,440000,US,0,US,M
2024,MI,FT,Engineer,440000,USD,440000,US,0,US,M
2024,MI,FT,Engineer,440000,USD,440000,US,0,US,M
2024,SE,FT,Scientist,440000,USD,440000,US,0,US,M
2024,MI,FT,Engineer,440000,USD,440000,US,0,US,M
2024,MI,FT,Scientist,440000,USD,440000,US,0,US,M
2024,SE,FT,Engineer,440000,USD,440000,US,0,US,M
2024,MI,FT,Engineer,440000,USD,440000,US,0,US,M
2024,MI,FT,Engineer,440000,USD,440000,US,0,US,M
2024,SE,FT,Scientist,440000,USD,440000,US,0,US,M
2024,SE,FT,Scientist,440000,USD,440000,US,0,US,M
2024,SE,FT,Scientist,440000,USD,440000,US,0,US,M
2024,SE,FT,Engineer,440000,USD,440000,US,0,US,M
2024,EX,FT,Other,438000,USD,438000,US,0,US,M
2021,MI,FT,Scientist,423000,USD,423000,US,50,US,L
2024,SE,FT,Engineer,418000,USD,418000,US,100,US,M
2024,SE,FT,Engineer,418000,USD,418000,US,100,US,M
2021,EX,CT,Scientist,416000,USD,416000,US,100,US,S
2024,SE,FT,Engineer,414000,USD,414000,US,0,US,M
2024,SE,FT,Scientist,414000,USD,414000,US,0,US,M
2020,SE,FT,Scientist,412000,USD,412000,US,100,US,L
2023,SE,FT,Engineer,409500,CAD,303387,CA,100,CA,M
2024,EX,FT,Engineer,408500,USD,408500,US,0,US,M
2023,MI,FT,Scientist,405000,USD,405000,US,0,US,L
2022,SE,FT,IT,405000,USD,405000,US,100,US,L
2024,SE,FT,IT,400000,USD,400000,US,100,US,M
2024,MI,FT,Engineer,400000,USD,400000,US,0,US,M
2024,SE,FT,IT,398900,USD,398900,US,0,US,M
2024,SE,FT,IT,398900,USD,398900,US,0,US,M
2023,SE,FT,Engineer,392000,USD,392000,US,0,US,M
2024,SE,FT,Engineer,386100,USD,386100,US,0,US,M
2024,MI,FT,Engineer,385000,USD,385000,US,0,US,M
2024,SE,FT,Engineer,385000,USD,385000,US,0,US,M
2024,SE,FT,Engineer,385000,USD,385000,US,0,US,M
2024,MI,FT,Scientist,385000,USD,385000,US,0,US,M
2023,EX,FT,Engineer,385000,USD,385000,US,0,US,M
2023,SE,FT,Engineer,385000,USD,385000,US,0,US,M
2023,SE,FT,Engineer,385000,USD,385000,US,0,US,M
2023,SE,FT,Engineer,385000,USD,385000,US,0,US,M
2023,SE,FT,Engineer,385000,USD,385000,US,0,US,M
2023,SE,FT,Engineer,385000,USD,385000,US,100,US,M
2023,SE,FT,Finance,385000,USD,385000,US,0,US,M
2023,SE,FT,Engineer,383910,USD,383910,US,0,US,M
2024,SE,FT,Scientist,382320,USD,382320,US,0,US,M
2024,EX,FT,IT,381500,USD,381500,US,0,US,M
2024,SE,FT,IT,381500,USD,381500,US,0,US,M
2022,SE,FT,Scientist,380000,USD,380000,US,100,US,L
2023,SE,FT,IT,376080,USD,376080,US,100,US,M
2023,EX,FT,IT,375500,USD,375500,US,100,US,M
2022,SE,FT,Engineer,375000,USD,375000,US,100,US,M
2022,SE,FT,Technician,375000,USD,375000,US,50,US,L
2023,SE,FT,Scientist,374000,USD,374000,US,0,US,M
2024,EX,FT,Other,373000,USD,373000,US,100,US,M
2023,SE,FT,Engineer,372000,USD,372000,US,0,US,M
2023,SE,FT,Engineer,370000,USD,370000,US,0,US,M
2023,SE,FT,Scientist,370000,USD,370000,US,0,US,M
2023,SE,FT,Engineer,370000,USD,370000,US,0,US,M
2023,SE,FT,Engineer,370000,USD,370000,US,0,US,M
2023,SE,FT,Engineer,370000,USD,370000,US,0,US,M
2023,SE,FT,Scientist,370000,USD,370000,US,0,US,M
2023,SE,FT,Engineer,370000,USD,370000,US,0,US,M
2023,SE,FT,Scientist,370000,USD,370000,US,0,US,M
2023,SE,FT,Engineer,370000,USD,370000,US,0,US,M
2023,SE,FT,Engineer,370000,USD,370000,US,0,US,M
2023,SE,FT,Scientist,370000,USD,370000,US,0,US,M
2023,SE,FT,Scientist,370000,USD,370000,US,0,US,M
2023,SE,FT,Scientist,370000,USD,370000,US,0,US,M
2023,SE,FT,Engineer,365630,USD,365630,US,0,US,M
2024,SE,FT,Engineer,365100,USD,365100,US,0,US,M
2024,SE,FT,IT,363000,USD,363000,US,0,US,M
2024,SE,FT,IT,363000,USD,363000,US,0,US,M
2024,SE,FT,Scientist,360000,USD,360000,US,0,US,M
2024,MI,FT,Engineer,360000,USD,360000,US,0,US,M
2023,SE,FT,Engineer,360000,USD,360000,US,0,US,M
2023,SE,FT,Finance,360000,TRY,18381,TR,100,TR,L
2024,MI,FT,Scientist,359400,USD,359400,US,100,US,M
2024,MI,FT,Scientist,359400,USD,359400,US,100,US,M
2024,SE,FT,Scientist,359170,USD,359170,US,0,US,M
2023,SE,FT,Scientist,359170,USD,359170,US,0,US,M
2023,SE,FT,Scientist,359170,USD,359170,US,0,US,M
2023,SE,FT,Scientist,359170,USD,359170,US,0,US,M
2023,SE,FT,Scientist,359170,USD,359170,US,0,US,M
2023,SE,FT,Scientist,359170,USD,359170,US,0,US,M
2023,SE,FT,Scientist,359170,USD,359170,US,0,US,M
2023,SE,FT,Scientist,359170,USD,359170,US,0,US,M
2023,SE,FT,Scientist,359170,USD,359170,US,0,US,M
2023,SE,FT,Scientist,359170,USD,359170,US,0,US,M
2023,SE,FT,Scientist,359170,USD,359170,US,0,US,M
2024,SE,FT,Engineer,357900,USD,357900,US,0,US,M
2023,SE,FT,IT,354200,USD,354200,US,100,US,M
2023,EX,FT,IT,353200,USD,353200,US,0,US,M
2023,EX,FT,IT,353200,USD,353200,US,0,US,M
2023,SE,FT,Engineer,351000,USD,351000,US,0,US,M
2023,EN,FT,Engineer,350000,USD,350000,US,0,US,M
2023,EX,FT,Engineer,350000,USD,350000,US,100,US,M
2023,SE,FT,Engineer,350000,USD,350000,US,0,US,M
2023,SE,FT,IT,350000,USD,350000,US,0,US,M
2023,MI,FT,Engineer,350000,GBP,430640,GB,0,GB,M
2023,SE,FT,Scientist,350000,USD,350000,US,0,US,L
2022,MI,FT,Finance,350000,GBP,430967,GB,0,GB,M
2022,SE,FT,Scientist,350000,USD,350000,US,100,US,M
2022,SE,FT,IT,345600,USD,345600,US,0,US,M
2024,SE,FT,Engineer,345400,USD,345400,US,0,US,M
2024,SE,FT,Engineer,345400,USD,345400,US,0,US,M
2024,SE,FT,Engineer,345400,USD,345400,US,0,US,M
2024,SE,FT,Scientist,345000,USD,345000,US,0,US,M
2023,SE,FT,Scientist,345000,USD,345000,US,0,US,M
2023,SE,FT,Engineer,342810,USD,342810,US,0,US,M
2024,SE,FT,IT,342400,USD,342400,US,0,US,M
2023,SE,FT,Engineer,342300,USD,342300,US,0,US,L
2024,SE,FT,Engineer,340000,USD,340000,US,0,US,M
2024,SE,FT,Scientist,340000,USD,340000,US,100,US,M
2023,SE,FT,Engineer,340000,USD,340000,US,0,US,M
2023,MI,FT,Scientist,340000,USD,340000,US,100,US,M
2024,SE,FT,Engineer,339250,USD,339250,US,0,US,M
2024,SE,FT,Scientist,337300,USD,337300,US,0,US,M
2024,SE,FT,Scientist,337300,USD,337300,US,0,US,M
2024,SE,FT,Scientist,337300,USD,337300,US,0,US,M
2024,SE,FT,Scientist,337300,USD,337300,US,0,US,M
2023,EX,FT,IT,336400,USD,336400,US,0,US,M
2023,SE,FT,Engineer,336300,USD,336300,US,0,US,M
2024,EX,FT,Engineer,334075,USD,334075,CA,0,CA,M
2024,SE,FT,Scientist,333500,USD,333500,US,0,US,M
2024,SE,FT,Engineer,333500,USD,333500,US,0,US,M
2024,SE,FT,Engineer,333500,USD,333500,US,0,US,M
2024,SE,FT,Engineer,333500,USD,333500,US,0,US,M
2023,SE,FT,Engineer,333500,USD,333500,US,0,US,M
2023,SE,FT,Engineer,333500,USD,333500,US,0,US,M
2023,EX,FT,Engineer,333500,USD,333500,US,0,US,M
2024,SE,FT,Engineer,331640,USD,331640,US,0,US,M
2024,SE,FT,Engineer,331640,USD,331640,US,0,US,M
2024,SE,FT,Engineer,331640,USD,331640,US,0,US,M
2024,SE,FT,Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Engineer,331640,USD,331640,US,0,US,M
2023,SE,FT,Engineer,331640,USD,331640,US,0,US,M
2024,SE,FT,IT,331292,USD,331292,US,0,US,M
2023,SE,FT,Engineer,330000,USD,330000,US,100,US,M
2023,EX,FT,Other,330000,USD,330000,US,0,US,M
2023,SE,FT,Engineer,330000,USD,330000,US,0,US,M
2023,SE,FT,Engineer,330000,USD,330000,US,0,US,M
2023,SE,FT,IT,330000,USD,330000,US,0,US,M
2023,SE,FT,IT,330000,USD,330000,US,0,US,M
2023,SE,FT,IT,330000,USD,330000,US,0,US,M
2023,SE,FT,IT,330000,USD,330000,US,0,US,M
2023,EX,FT,IT,330000,USD,330000,US,0,US,M
2023,SE,FT,Scientist,329700,USD,329700,US,0,US,M
2023,EX,FT,IT,329500,USD,329500,US,100,US,M
2023,EX,FT,IT,329500,USD,329500,US,100,US,M
2023,EX,FT,IT,329500,USD,329500,US,0,US,M
2023,EX,FT,IT,329500,USD,329500,US,0,US,M
2024,SE,FT,Engineer,329200,USD,329200,CA,100,CA,M
2023,SE,FT,Engineer,328400,USD,328400,US,100,US,M
2023,SE,FT,Engineer,328133,USD,328133,US,0,US,M
2024,MI,FT,IT,328000,USD,328000,US,0,US,M
2023,SE,FT,IT,328000,USD,328000,US,0,US,M
2024,EX,FT,IT,326000,USD,326000,US,100,US,M
2024,MI,FT,Finance,325000,USD,325000,US,0,US,M
2023,SE,FT,Scientist,325000,USD,325000,US,100,US,M
2023,SE,FT,Engineer,325000,GBP,399880,GB,50,GB,L
2020,EX,FT,IT,325000,USD,325000,US,100,US,L
2024,SE,FT,IT,324100,USD,324100,US,0,US,L
2024,SE,FT,Engineer,324000,USD,324000,US,0,US,M
2024,SE,FT,Engineer,324000,USD,324000,US,0,US,M
2024,SE,FT,Engineer,324000,USD,324000,US,0,US,M
2024,SE,FT,Engineer,324000,USD,324000,US,0,US,M
2024,SE,FT,IT,324000,USD,324000,US,100,US,M
2024,SE,FT,Engineer,324000,USD,324000,US,0,US,M
2024,SE,FT,Engineer,324000,USD,324000,US,0,US,M
2024,SE,FT,Engineer,324000,USD,324000,US,0,US,M
2024,SE,FT,Scientist,324000,USD,324000,US,0,US,M
2024,SE,FT,Engineer,324000,USD,324000,US,0,US,M
2023,SE,FT,Engineer,324000,USD,324000,US,0,US,M
2023,SE,FT,Engineer,324000,USD,324000,US,0,US,M
2023,SE,FT,Engineer,324000,USD,324000,US,0,US,M
2023,SE,FT,Scientist,324000,USD,324000,US,0,US,M
2023,SE,FT,Engineer,324000,USD,324000,US,0,US,M
2023,SE,FT,Engineer,324000,USD,324000,US,0,US,M
2022,EX,FT,Engineer,324000,USD,324000,US,100,US,M
2024,EX,FT,IT,323700,USD,323700,US,100,US,M
2024,SE,FT,Scientist,323300,USD,323300,US,0,US,M
2023,SE,FT,Scientist,323300,USD,323300,US,0,US,M
2023,SE,FT,Engineer,323300,USD,323300,US,0,US,M
2023,SE,FT,Engineer,323300,USD,323300,US,0,US,M
2023,SE,FT,Scientist,323300,USD,323300,US,0,US,M
2023,SE,FT,Scientist,323300,USD,323300,US,0,US,M
2023,SE,FT,Engineer,323300,USD,323300,US,0,US,M
2023,SE,FT,Scientist,323300,USD,323300,US,0,US,M
2023,SE,FT,Scientist,323300,USD,323300,US,0,US,M
2023,SE,FT,Scientist,323300,USD,323300,US,0,US,M
2023,SE,FT,Engineer,323300,USD,323300,US,0,US,M
2024,SE,FT,Scientist,322000,USD,322000,US,0,US,M
2024,SE,FT,Engineer,322000,USD,322000,US,100,US,M
2024,SE,FT,Engineer,322000,USD,322000,US,100,US,M
2024,MI,FT,Public Relations,321830,USD,321830,US,0,US,M
2024,SE,FT,Scientist,321000,USD,321000,US,0,US,M
2024,SE,FT,Scientist,321000,USD,321000,US,100,US,M
2024,EX,FT,Analyst,320000,USD,320000,US,0,US,M
2023,SE,FT,Engineer,319000,USD,319000,US,0,US,M
2023,SE,FT,Engineer,319000,USD,319000,US,100,US,M
2023,SE,FT,Engineer,318300,USD,318300,US,100,US,M
2023,SE,FT,Engineer,318300,USD,318300,US,100,US,M
2023,SE,FT,Engineer,317070,USD,317070,US,0,US,M
2023,SE,FT,Scientist,317070,USD,317070,US,0,US,M
2024,SE,FT,IT,317000,USD,317000,US,0,US,M
2024,SE,FT,Engineer,316900,USD,316900,US,0,US,M
2023,SE,FT,Scientist,316000,USD,316000,US,0,US,M
2023,SE,FT,Scientist,316000,USD,316000,US,0,US,M
2023,SE,FT,Scientist,316000,USD,316000,US,0,US,M
2023,SE,FT,Engineer,315850,USD,315850,US,0,US,M
2023,SE,FT,Engineer,315850,USD,315850,US,0,US,M
2023,SE,FT,Engineer,315300,USD,315300,US,100,US,M
2024,SE,FT,Engineer,315000,USD,315000,US,100,US,M
2022,SE,FT,Engineer,315000,USD,315000,US,100,US,M
2024,SE,FT,Scientist,314100,USD,314100,US,0,US,M
2023,EX,FT,IT,314100,USD,314100,US,0,US,M
2024,EX,FT,Engineer,314000,USD,314000,CA,100,CA,M
2024,SE,FT,Engineer,313000,USD,313000,US,100,US,M
2024,SE,FT,Engineer,313000,USD,313000,US,100,US,M
2024,EX,FT,Engineer,312287,USD,312287,US,0,US,M
2023,SE,FT,Engineer,311000,USD,311000,US,0,US,M
2024,SE,FT,Scientist,310270,USD,310270,US,0,US,M
2023,SE,FT,Scientist,310270,USD,310270,US,0,US,M
2023,SE,FT,Scientist,310270,USD,310270,US,0,US,M
2023,SE,FT,Scientist,310270,USD,310270,US,0,US,M
2023,SE,FT,Scientist,310270,USD,310270,US,0,US,M
2023,SE,FT,Scientist,310270,USD,310270,US,0,US,M
2024,SE,FT,Engineer,310000,USD,310000,US,0,US,M
2024,SE,FT,Engineer,310000,USD,310000,US,0,US,M
2024,SE,FT,Engineer,310000,USD,310000,US,0,US,M
2024,SE,FT,Engineer,310000,USD,310000,US,0,US,M
2024,MI,FT,Scientist,310000,USD,310000,US,0,US,M
2023,MI,FT,Scientist,310000,USD,310000,US,0,US,M
2023,SE,FT,IT,310000,USD,310000,US,100,US,M
2023,SE,FT,Engineer,310000,USD,310000,US,0,US,M
2023,SE,FT,Engineer,310000,USD,310000,US,0,US,M
2023,EX,FT,Engineer,310000,USD,310000,US,100,US,M
2023,EX,FT,Engineer,310000,USD,310000,US,100,US,M
2023,EX,FT,Engineer,310000,USD,310000,US,100,US,M
2023,EX,FT,Engineer,310000,USD,310000,US,100,US,M
2023,SE,FT,Engineer,310000,USD,310000,US,0,US,M
2022,EX,FT,Engineer,310000,USD,310000,US,100,US,M
2022,EX,FT,Engineer,310000,USD,310000,US,100,US,M
2023,SE,FT,Scientist,309400,USD,309400,US,0,US,L
2023,SE,FT,Scientist,309400,USD,309400,US,0,US,L
2023,SE,FT,Scientist,309400,USD,309400,US,0,US,L
2023,SE,FT,Scientist,309400,USD,309400,US,0,US,L
2023,SE,FT,Scientist,309400,USD,309400,US,0,US,L
2023,SE,FT,Scientist,309400,USD,309400,US,0,US,L
2023,SE,FT,Scientist,309400,USD,309400,US,0,US,L
2024,SE,FT,Engineer,309000,USD,309000,US,0,US,M
2024,SE,FT,Engineer,309000,USD,309000,US,0,US,M
2024,SE,FT,Engineer,309000,USD,309000,US,0,US,M
2023,SE,FT,Engineer,309000,USD,309000,US,0,US,M
2023,SE,FT,Engineer,309000,USD,309000,US,0,US,M
2023,SE,FT,Engineer,309000,USD,309000,US,0,US,M
2023,SE,FT,Engineer,309000,USD,309000,US,0,US,M
2023,SE,FT,Engineer,309000,USD,309000,US,0,US,M
2024,MI,FT,Engineer,308000,USD,308000,US,0,US,M
2023,SE,FT,Engineer,308000,USD,308000,US,0,US,M
2023,SE,FT,Scientist,308000,USD,308000,US,0,US,M
2023,SE,FT,Scientist,308000,USD,308000,US,0,US,M
2023,SE,FT,Engineer,308000,USD,308000,US,0,US,M
2024,SE,FT,Engineer,307100,USD,307100,US,100,US,M
2023,SE,FT,Scientist,307100,USD,307100,US,0,US,M
2023,SE,FT,Engineer,306400,USD,306400,CA,0,CA,M
2023,SE,FT,IT,306000,USD,306000,US,100,US,M
2023,SE,FT,Engineer,306000,USD,306000,US,0,US,M
2023,SE,FT,IT,306000,USD,306000,US,100,US,M
2023,SE,FT,IT,306000,USD,306000,US,100,US,M
2023,SE,FT,IT,306000,USD,306000,US,100,US,M
2023,SE,FT,Scientist,305600,USD,305600,US,0,US,M
2023,SE,FT,Engineer,305600,USD,305600,US,0,US,M
2023,SE,FT,Engineer,305600,USD,305600,US,0,US,M
2023,SE,FT,Scientist,305600,USD,305600,US,0,US,M
2023,SE,FT,IT,305100,USD,305100,US,100,US,M
2023,SE,FT,Engineer,305000,USD,305000,US,0,US,M
2023,SE,FT,Engineer,305000,USD,305000,US,100,US,M
2024,SE,FT,Engineer,304750,USD,304750,US,0,US,M
2024,SE,FT,Engineer,304750,USD,304750,US,0,US,M
2023,SE,FT,Engineer,304750,USD,304750,US,0,US,M
2023,SE,FT,Engineer,304200,USD,304200,US,0,US,M
2023,SE,FT,Engineer,304000,USD,304000,US,100,US,M
2024,SE,FT,Engineer,303400,USD,303400,US,100,US,M
2024,SE,FT,Engineer,303400,USD,303400,US,0,US,M
2024,SE,FT,Engineer,303400,USD,303400,CA,100,CA,M
2024,SE,FT,Engineer,303400,USD,303400,US,100,US,M
2024,SE,FT,Scientist,303050,USD,303050,US,0,US,M
2023,SE,FT,Scientist,303050,USD,303050,US,0,US,M
2023,SE,FT,Scientist,303050,USD,303050,US,0,US,M
2023,SE,FT,Scientist,303050,USD,303050,US,0,US,M
2024,SE,FT,Scientist,302840,USD,302840,US,0,US,M
2023,SE,FT,Engineer,302000,USD,302000,US,0,US,M
2023,SE,FT,Scientist,300240,USD,300240,US,0,US,M
2023,SE,FT,Scientist,300240,USD,300240,US,0,US,M
2023,SE,FT,Engineer,300105,USD,300105,US,0,US,M
2024,SE,FT,Engineer,300000,USD,300000,US,0,US,M
2024,EX,FT,IT,300000,USD,300000,US,100,US,M
2024,SE,FT,Engineer,300000,USD,300000,US,0,US,M
2024,MI,FT,Scientist,300000,USD,300000,US,0,US,M
2024,EN,FT,Finance,300000,USD,300000,US,0,US,M
2024,EN,FT,Finance,300000,USD,300000,US,0,US,M
2024,EN,FT,Finance,300000,USD,300000,US,100,US,M
2024,EX,FT,IT,300000,USD,300000,US,100,US,M
2024,EX,FT,IT,300000,USD,300000,US,100,US,M
2024,SE,FT,Engineer,300000,USD,300000,GB,0,GB,M
2024,EX,FT,IT,300000,USD,300000,US,100,US,M
2024,SE,FT,Engineer,300000,USD,300000,US,0,US,M
2024,SE,FT,Engineer,300000,USD,300000,US,100,US,M
2024,SE,FT,Engineer,300000,USD,300000,US,0,US,M
2024,EX,FT,IT,300000,USD,300000,US,100,US,M
2024,SE,FT,Engineer,300000,USD,300000,US,0,US,M
2024,SE,FT,Engineer,300000,USD,300000,US,0,US,M
2023,SE,FT,Engineer,300000,USD,300000,US,0,US,M
2023,SE,FT,Engineer,300000,USD,300000,US,100,US,M
2023,SE,FT,Engineer,300000,USD,300000,US,0,US,M
2023,SE,FT,Engineer,300000,USD,300000,US,0,US,M
2023,SE,FT,Scientist,300000,USD,300000,US,0,US,M
2023,SE,FT,Engineer,300000,USD,300000,US,0,US,M
2023,SE,FT,Engineer,300000,USD,300000,US,100,US,M
2023,MI,FT,Engineer,300000,USD,300000,US,0,US,M
2023,SE,FT,Engineer,300000,USD,300000,US,0,US,M
2023,SE,FT,Engineer,300000,USD,300000,US,0,US,M
2023,MI,FT,Engineer,300000,USD,300000,US,0,US,M
2023,MI,FT,Engineer,300000,USD,300000,US,0,US,M
2023,SE,FT,Scientist,300000,USD,300000,US,0,US,M
2023,MI,FT,Engineer,300000,GBP,369120,GB,0,GB,M
2023,MI,FT,Scientist,300000,USD,300000,US,0,US,M
2023,SE,FT,Scientist,300000,USD,300000,US,0,US,M
2023,SE,FT,Engineer,300000,USD,300000,US,0,US,M
